id,sentence_text,order_within_feedback_entry,feedback_entry_id,sentiment,team_id,feedback_date
1019362,I think United should stop putting priority on the luggage because my bags NEVER come out first,1,456043,-0.9411,427,2022-04-22 00:00:00
1019363,Easy check in!,1,456044,0.9905,427,2022-04-22 00:00:00
1019364,easy to use and convenient,1,456045,0.9963,427,2022-04-22 00:00:00
1019365,"pretty good app, but first time using it I didn't like that it asked for a credit card for incidentals and then didn't give me the option to use that card when later checking bags.",1,456046,-0.9832,427,2022-04-22 00:00:00
1019366,I had to enter all the info twice.,2,456046,-0.8805,427,2022-04-22 00:00:00
1019367,lost opportunity for efficiency.,3,456046,-0.9693,427,2022-04-22 00:00:00
1019369,Great program to assist you in flying to a foreign country.,1,456048,0.9959,427,2022-04-22 00:00:00
1019370,The step by step process on line is great!,2,456048,0.9978,427,2022-04-22 00:00:00
1019371,"bad scan passport loop...gave option to skip scan and once that option was selected, it kept making a loop back",1,456049,-0.9978,427,2022-04-22 00:00:00
1019372,We have gotten United for years as it preferred airline.,1,456050,0.5703,427,2022-04-22 00:00:00
1019373,"The app simplifies booking, updates and check in.",2,456050,0.9376,427,2022-04-22 00:00:00
1019374,"great app, great airline!",1,456051,0.9984,427,2022-04-21 00:00:00
1019375,follow me at iloveunitedair on instagram!,2,456051,0.8878,427,2022-04-21 00:00:00
1019376,still kind of new to program but it did perform as stated first Time,1,456052,0.9077,427,2022-04-21 00:00:00
1019377,As we were boarding the plane we were told to download the app and save our credit card information in order to buy food and drinks on board.,1,456053,0.8187,427,2022-04-21 00:00:00
1019378,"Turns out, instructions were wrong, and I gave the app all my information for nothing.",2,456053,-0.999,427,2022-04-21 00:00:00
1019379,"Couldn't buy a single thing on the plane.",3,456053,-0.9393,427,2022-04-21 00:00:00
1019380,Make a better app.,4,456053,-0.8865,427,2022-04-21 00:00:00
1019381,Give better directions.,5,456053,-0.9691,427,2022-04-21 00:00:00
1019382,Come up with solutions before problems arise.,6,456053,0.5249,427,2022-04-21 00:00:00
1019383,Be decent.,7,456053,0.6291,427,2022-04-21 00:00:00
1019384,Please.,8,456053,-0.5825,427,2022-04-21 00:00:00
1019385,Registration is terrible.,1,456054,-0.9997,427,2022-04-21 00:00:00
1019386,Awful design and asked me to re enter too many times.,2,456054,-0.9997,427,2022-04-21 00:00:00
1019387,It does not scan the passport.,1,456055,-0.9949,427,2022-04-21 00:00:00
1019388,This is making like difficult not easier,2,456055,-0.9874,427,2022-04-21 00:00:00
1019389,Needs some updating,1,456056,-0.8269,427,2022-04-21 00:00:00
1019390,There appears to be an issue saving boarding passes to GPay.,1,456057,-0.887,427,2022-04-21 00:00:00
1019391,"When the 'Save to Phone' button is tapped on the boarding pass, nothing happens.",2,456057,-0.9943,427,2022-04-21 00:00:00
1019392,"best flight app I've used",1,456058,0.9976,427,2022-04-21 00:00:00
1019393,I absolutely resent being required to download this app to check in.,1,456059,-0.901,427,2022-04-21 00:00:00
1019398,my flight got delayed and had a connecting flight that I was going to miss and Tara was able to get me to my final destination leaving 2 hours sooner and arriving 3 hours ahead of original flight.,1,456061,0.5628,427,2022-04-21 00:00:00
1019399,Great job United,2,456061,0.998,427,2022-04-21 00:00:00
1019400,Great,1,456062,0.9931,427,2022-04-21 00:00:00
1019401,Easy to use!,1,456063,0.9972,427,2022-04-21 00:00:00
1019402,Very helpful with the reminders!,2,456063,0.9981,427,2022-04-21 00:00:00
1019403,"Great airline, respectful staffs so i had and hope will continue to have more amazing experience!",1,456064,0.9987,427,2022-04-21 00:00:00
1019404,horrible,1,456065,-0.9972,427,2022-04-21 00:00:00
1019405,i could not scan my passport using the app.,1,456066,-0.9657,427,2022-04-21 00:00:00
1019406,Very frustrating,2,456066,-0.9948,427,2022-04-21 00:00:00
1019407,I felt like I went in circles before getting checked in.,1,456067,-0.9726,427,2022-04-21 00:00:00
1019408,like flying with ua,1,456068,0.5333,427,2022-04-20 00:00:00
1019409,trash airline trash app,1,456069,-0.9936,427,2022-04-20 00:00:00
1019410,best major ailine app,1,456070,0.9955,427,2022-04-20 00:00:00
1019411,"Why can't I use the old one very inconvenient to try to upgrade when in line at airport",1,456071,-0.7452,427,2022-04-20 00:00:00
1019412,very easy to use.,1,456072,0.9932,427,2022-04-20 00:00:00
1019413,confusing,1,456073,-0.9693,427,2022-04-20 00:00:00
1019414,keep up with the good work,1,456074,0.9952,427,2022-04-20 00:00:00
1019416,I am being charged for a bag that should be free.,1,456076,-0.8063,427,2022-04-20 00:00:00
1019417,"They said they fixed the issue but I'm still being charged.",2,456076,-0.8636,427,2022-04-20 00:00:00
1019418,retarded system,1,456077,-0.9963,427,2022-04-20 00:00:00
1019419,Amazing!!,1,456078,0.9987,427,2022-04-20 00:00:00
1019420,I feel like a valued customer.,1,456079,0.8944,427,2022-04-20 00:00:00
1019421,my appointment location pre-flight covid testing was moved.,1,456080,0.6706,427,2022-04-20 00:00:00
1019422,set me to where I could not got on flight.,2,456080,-0.9268,427,2022-04-20 00:00:00
1019423,have to sleep in a shut down airport!,3,456080,-0.5544,427,2022-04-20 00:00:00
1019424,great app,1,456081,0.9968,427,2022-04-20 00:00:00
1019425,Absolutely Brilliant to deal with,1,456082,0.9993,427,2022-04-20 00:00:00
1019426,"Can't create an account due to email errors.",1,456083,-0.9619,427,2022-04-19 00:00:00
1019427,Absolute dogshit.,1,456084,-0.9983,427,2022-04-19 00:00:00
1019428,"Had to check-in in person like it's 1980",2,456084,-0.7668,427,2022-04-19 00:00:00
1019429,"love united, I have flown them all !",1,456085,0.998,427,2022-04-19 00:00:00
1019430,love the united app..easy intuitive functionality!,1,456086,0.9967,427,2022-04-19 00:00:00
1019431,works great!,1,456087,0.9986,427,2022-04-19 00:00:00
1019432,Really like the app that tells the gate changes.,1,456088,0.9813,427,2022-04-19 00:00:00
1019433,The ability to pin the boarding pass.,2,456088,0.721,427,2022-04-19 00:00:00
1019434,Easy to maneuver,1,456089,0.9625,427,2022-04-19 00:00:00
1019435,if only carry on bags were included I could give them 5 stars,1,456090,-0.8843,427,2022-04-19 00:00:00
1019436,"Passport scanning doesn't work in Samsung Galaxy S20",1,456091,-0.9972,427,2022-04-19 00:00:00
1019437,This app has become a buggy confusing mess.,1,456092,-0.9991,427,2022-04-19 00:00:00
1019438,"We're just trying to check in for our flight and your demanding to know how much our luggage weighs like everybody has a baggage scale in their home.",2,456092,-0.8454,427,2022-04-19 00:00:00
1019439,You want me to input a credit card number for contactless purchases but the app crashes when I try to enter one.,3,456092,-0.9682,427,2022-04-19 00:00:00
1019440,"excellent app, very user friendly",1,456093,0.9995,427,2022-04-19 00:00:00
1019441,found it helpful to navigate all the documentation requirements for travel,1,456094,0.9966,427,2022-04-19 00:00:00
1019442,"doesn't actually tell me what my bag allowances are.",1,456095,-0.9936,427,2022-04-18 00:00:00
1019443,it keeps taking me to the table/description of all of the different ticket types.,2,456095,0.9719,427,2022-04-18 00:00:00
1019444,"you know what my ticket type is, just tell me what I can and cannot bring!",3,456095,0.9386,427,2022-04-18 00:00:00
1019445,highly frustrating,4,456095,-0.9932,427,2022-04-18 00:00:00
1019446,decent flight but bought tickets to fly with Luftansa furthermore and they charge extra if you want to sit next to your partner!,1,456096,-0.8809,427,2022-04-18 00:00:00
1019447,paid $158 just to sit next to each other.....,2,456096,-0.8894,427,2022-04-18 00:00:00
1019448,"The app is functional, but not as good as Deltas and SkyWest",1,456097,-0.989,427,2022-04-18 00:00:00
1019449,Awkward User Interface/Experience.,1,456098,-0.9514,427,2022-04-18 00:00:00
1019450,Does not work when my VPN is running - claims it is not connected to the internet.,2,456098,-0.9991,427,2022-04-18 00:00:00
1019451,"When I am logged in, it should automatically attach my Loyalty Number when I add a trip instead of making it several extra steps.",3,456098,0.7382,427,2022-04-18 00:00:00
1019452,Though I think the most recent update did make that slightly easier.,4,456098,0.826,427,2022-04-18 00:00:00
1019453,There are just an unnecessary amount of sub menus.,5,456098,-0.9902,427,2022-04-18 00:00:00
1019454,Biometrics no longer working.,1,456099,-0.9921,427,2022-04-18 00:00:00
1019455,At one time it worked.,2,456099,0.5225,427,2022-04-18 00:00:00
1019456,"Now doesn't even remember my user ID... yugh.",3,456099,-0.9891,427,2022-04-18 00:00:00
1019457,Ver easy to use!,1,456100,0.9934,427,2022-04-18 00:00:00
1019458,"Useless app, check in fails after submitting all approved documentation and completing all forms",1,456101,-1,427,2022-04-18 00:00:00
1019459,what a great app,1,456102,0.9982,427,2022-04-18 00:00:00
1019460,Impossible To Scan My Passport.,1,456103,0.599,427,2022-04-18 00:00:00
1019461,Tried on my Android tablet and everitime y clicked in the button to scan the passport the app crashes.,2,456103,-0.9908,427,2022-04-18 00:00:00
1019462,"Then I tried from my Android cellphone and I'd never got to scan the passport neither the app tells you how tp position the passport so it can be scanned.",3,456103,-0.7425,427,2022-04-18 00:00:00
1019463,This app is garbage.,4,456103,-0.9998,427,2022-04-18 00:00:00
1019464,great options save time,1,456104,0.9916,427,2022-04-18 00:00:00
1019465,So easy!,1,456105,0.9866,427,2022-04-18 00:00:00
1019466,bs app,1,456106,-0.8737,427,2022-04-18 00:00:00
1019467,"The scanning doesn't work as had been said in all the review prior to mine.",1,456107,-0.9975,427,2022-04-18 00:00:00
1019468,Why would United not address this?,2,456107,0.5959,427,2022-04-18 00:00:00
1019469,I tried support and the person had no clue and also directed me to the wesite.,3,456107,-0.9856,427,2022-04-18 00:00:00
1019470,"You can't scan or upload from the website and yet support sent me there!",4,456107,-0.967,427,2022-04-18 00:00:00
1019471,United .... please read your reviews and train your support staff on the use of this app!,5,456107,0.5176,427,2022-04-18 00:00:00
1019472,Are see us wss do w we,1,456108,-0.5543,427,2022-04-18 00:00:00
1019473,Easy Online check in!,1,456109,0.9862,427,2022-04-18 00:00:00
1019474,"Wouldn't give me my boarding pass without downloading app.",1,456110,-0.526,427,2022-04-18 00:00:00
1019475,"That's bad enough.",2,456110,-0.957,427,2022-04-18 00:00:00
1019476,Downloaded app.,3,456110,0.6403,427,2022-04-18 00:00:00
1019477,All documents uploaded (took multiple attempts.),4,456110,-0.9652,427,2022-04-18 00:00:00
1019478,All documents approved (took multiple attempts.),5,456110,-0.8097,427,2022-04-18 00:00:00
1019479,"Still won't give me my boarding pass.",6,456110,-0.9745,427,2022-04-18 00:00:00
1019480,"United, you were already the worst, why continue digging after you've found yourself in a hole?",7,456110,-0.9872,427,2022-04-18 00:00:00
1019481,"Simple, straightforward and quick.",1,456111,0.9969,427,2022-04-18 00:00:00
1019482,Unable to update after 3 trial attempts,1,456112,-0.9988,427,2022-04-18 00:00:00
1019483,Great fast reliable APP,1,456113,0.9989,427,2022-04-18 00:00:00
1019486,Useless I deleted the app,1,456115,-0.9999,427,2022-04-17 00:00:00
1019487,Retarded foreigners waste my time over n over,1,456116,-0.9994,427,2022-04-17 00:00:00
1019488,Great app for essential information,1,456117,0.9948,427,2022-04-17 00:00:00
1019489,"one of the best airlines apps, almost too many features!",1,456118,0.9693,427,2022-04-17 00:00:00
1019490,Good airline other than they will occasionally change your seat seat unannounced.,1,456119,0.9777,427,2022-04-17 00:00:00
1019491,easy,1,456120,0.883,427,2022-04-17 00:00:00
1019492,no brainer...scan the phone jump on the plane and go.,1,456121,-0.9719,427,2022-04-17 00:00:00
1019493,"the guest option, no account needed",2,456121,-0.9688,427,2022-04-17 00:00:00
1019494,Who travels without luggage?,1,456122,0.9763,427,2022-04-17 00:00:00
1019495,Q - Are seat belts extra?,2,456122,-0.7914,427,2022-04-17 00:00:00
1019496,"Be special, don't nickle and dime passengers, set prices accordinately.",3,456122,-0.9753,427,2022-04-17 00:00:00
1019497,poor scanner,1,456123,-0.9974,427,2022-04-17 00:00:00
1019498,App incapable in imaging passport after spending 45 min trying under various lighting and background conditions.,1,456124,-0.9975,427,2022-04-17 00:00:00
1019499,"When I enter my birthdate in the format it specifies, it tells me that it's an invalid format.",2,456124,-0.996,427,2022-04-17 00:00:00
1019500,Did not work on my flight,1,456125,-0.9999,427,2022-04-17 00:00:00
1019501,"Too many ads, to many options for spending excess money on ridiculous upgrades, not enough ability to get right to my flight ticket.",1,456126,-0.9995,427,2022-04-17 00:00:00
1019502,"It's frankly annoying.",2,456126,-0.9898,427,2022-04-17 00:00:00
1019503,"I'm not a fan of flying for this reason among many others.",3,456126,-0.9675,427,2022-04-17 00:00:00
1019504,"""Spend more money and we will make you only slightly more comfortable!""",4,456126,-0.9726,427,2022-04-17 00:00:00
1019505,"it's simply insulting.",5,456126,-0.9955,427,2022-04-17 00:00:00
1019506,"Plus, I know about the insufferable mask policy, stop reminding me.",6,456126,-0.7852,427,2022-04-17 00:00:00
1019507,Not at all intuitive to navigate.,1,456127,-0.9996,427,2022-04-17 00:00:00
1019508,"Difficult to find basic information unless you're going through all the Travel Center steps (which didn't work anyway).",2,456127,-0.9991,427,2022-04-17 00:00:00
1019509,always smooth transactions,1,456128,0.998,427,2022-04-17 00:00:00
1019510,Excellent,1,456129,0.9934,427,2022-04-16 00:00:00
1019511,easy peacey!,1,456130,0.9813,427,2022-04-16 00:00:00
1019512,Another app that posts some info.,1,456131,0.9115,427,2022-04-16 00:00:00
1019513,Great App!,1,456132,0.9986,427,2022-04-16 00:00:00
1019514,Excellent app,1,456133,0.9979,427,2022-04-16 00:00:00
1019515,"This is the first review I've ever left and I saved it for a good occasion.",1,456134,0.9897,427,2022-04-16 00:00:00
1019516,The check-in process at UA is painful and full of hoops to jump through.,2,456134,-0.9976,427,2022-04-16 00:00:00
1019517,"I shouldn't be forced to download an app for something that can be done 98% online and the app is slow and painful.",3,456134,-0.996,427,2022-04-16 00:00:00
1019518,"I'm incredibly unimpressed by how painful this is and how many times I have to re-enter information and how incredibly not intuitive.",4,456134,-0.9999,427,2022-04-16 00:00:00
1019519,If I could leave 0 stars I would in a heartbeat.,5,456134,0.5236,427,2022-04-16 00:00:00
1019520,mileage plus number is too difficult to fine,1,456135,-0.9973,427,2022-04-16 00:00:00
1019521,simple to do.,1,456136,0.9645,427,2022-04-16 00:00:00
1019522,ridiculous that we still have to pay to check only one bag per person.,2,456136,-0.9912,427,2022-04-16 00:00:00
1019523,Excellent App,1,456137,0.9981,427,2022-04-16 00:00:00
1019524,"easy, fast and it keeps you informed about your travels updated.",1,456138,0.9972,427,2022-04-16 00:00:00
1019525,"I'm always pleased with ease of check-in and experience with crew",1,456139,0.9994,427,2022-04-16 00:00:00
1019526,the best,1,456140,0.9824,427,2022-04-16 00:00:00
1019527,"amazing app, but pity it allows to check in again and again and isn't clear enough at thay part.",1,456141,-0.7361,427,2022-04-16 00:00:00
1019528,"if check in is successfully completed, why doesn't it says so?",2,456141,-0.87,427,2022-04-16 00:00:00
1019529,solid.,1,456142,0.9945,427,2022-04-15 00:00:00
1019530,works good.,2,456142,0.9951,427,2022-04-15 00:00:00
1019531,"and it's easy to use",3,456142,0.9859,427,2022-04-15 00:00:00
1019532,check in process is good.,1,456143,0.9469,427,2022-04-15 00:00:00
1019533,No connectivity.,1,456144,-0.9393,427,2022-04-15 00:00:00
1019534,App did allow links to work until you get to the trips link.,2,456144,-0.9568,427,2022-04-15 00:00:00
1019535,"Then says ""no connectivity"".",3,456144,-0.9655,427,2022-04-15 00:00:00
1019536,"I updated the app, same issue.",4,456144,-0.8443,427,2022-04-15 00:00:00
1019537,"I uninstalled, reinstalled app, now can't log on because of same error.",5,456144,-0.9751,427,2022-04-15 00:00:00
1019538,Worthless.,6,456144,-0.9997,427,2022-04-15 00:00:00
1019539,does the job.,1,456145,0.9981,427,2022-04-15 00:00:00
1019540,no complaints here.,2,456145,0.9924,427,2022-04-15 00:00:00
1019541,"so far, I have loved my trip on UA",1,456146,0.9984,427,2022-04-15 00:00:00
1019542,United literature lies about the app.,1,456147,-0.5307,427,2022-04-15 00:00:00
1019543,"I don't have time to read your membership TOS, and I don't appreciate being bullied into in order to buy food.",2,456147,-0.7846,427,2022-04-15 00:00:00
1019544,"I don't have a problem attaching my card as guest, but you have disabled that.",3,456147,0.5277,427,2022-04-15 00:00:00
1019545,You suckm,4,456147,0.7495,427,2022-04-15 00:00:00
1019546,passport scan needs a better explanation,1,456148,-0.955,427,2022-04-15 00:00:00
1019547,Our flight time and route was changed with NO notification from United.,1,456149,0.6245,427,2022-04-15 00:00:00
1019548,this was the easiest check in.,1,456150,0.7655,427,2022-04-15 00:00:00
1019549,"The Gestapo of Airlines, economy basic doesn't even let you put a bag in the overhead.",1,456151,-0.8423,427,2022-04-15 00:00:00
1019550,The ticket agent at the gate harasses people with disabilities.,2,456151,-0.787,427,2022-04-15 00:00:00
1019551,too restricted,1,456152,-0.9915,427,2022-04-15 00:00:00
1019552,Passport will not scan at all.,1,456153,-0.999,427,2022-04-15 00:00:00
1019553,No directions either.,2,456153,-0.9586,427,2022-04-15 00:00:00
1019554,Is it vertical or horizontal?,3,456153,-0.9516,427,2022-04-15 00:00:00
1019555,"Guess it doesn't matter cus the app won't even take the picture",4,456153,-0.9247,427,2022-04-15 00:00:00
1019556,The passport scanner is awful.,1,456154,-0.9996,427,2022-04-15 00:00:00
1019557,Took a day and two phones to finally get it to work.,2,456154,-0.9919,427,2022-04-15 00:00:00
1019558,best airline and easy to book,1,456155,0.9939,427,2022-04-15 00:00:00
1019559,huassment.,1,456156,0.5444,427,2022-04-15 00:00:00
1019560,very easy to use,1,456157,0.99,427,2022-04-15 00:00:00
1019561,Easy to understand and use.,1,456158,0.9948,427,2022-04-15 00:00:00
1019562,United agent would not check my bags to destination because policy of something like a 12 hour layover...?,1,456159,-0.9961,427,2022-04-15 00:00:00
1019563,"I know some people would want their bags but I packed so I didn't need it.",2,456159,-0.8604,427,2022-04-15 00:00:00
1019564,"This meant that I had to wait at baggage claim, drag a bag I didn't need to airport hotel and back again.",3,456159,-0.9811,427,2022-04-15 00:00:00
1019565,"Also baggage came to the wrong carousel, not the one it was supposed to come to or the one labeled for the flight.",4,456159,-0.9665,427,2022-04-15 00:00:00
1019566,This caused me to miss my pickup waiting and waiting at the wrong carousel with many others on t,5,456159,-0.998,427,2022-04-15 00:00:00
1019567,The best,1,456160,0.9829,427,2022-04-15 00:00:00
1019568,a hell of a airline.,1,456161,-0.9465,427,2022-04-15 00:00:00
1019569,"over a million miles with United love them, safe professionals and courteous",1,456162,0.9974,427,2022-04-15 00:00:00
1019570,crashes sometimes,1,456163,-0.9713,427,2022-04-14 00:00:00
1019571,Every time I try to book a flight in this app it kicks me out!,1,456164,0.5998,427,2022-04-14 00:00:00
1019572,wow this app sucks.,1,456165,-0.9853,427,2022-04-14 00:00:00
1019573,more later,2,456165,0.7616,427,2022-04-14 00:00:00
1019574,Terrible app that so far has not had a single component work.,1,456166,-0.991,427,2022-04-14 00:00:00
1019575,"I downloaded the most recent update but it doesn't actually do anything.",2,456166,-0.9919,427,2022-04-14 00:00:00
1019576,It does not access media on my flight to San Jose.,3,456166,-0.991,427,2022-04-14 00:00:00
1019577,It did not get Internet access but at least it did not charge me either.,4,456166,-0.9951,427,2022-04-14 00:00:00
1019578,Whoever is in charge of this app has no pride whatsoever in what they do.,5,456166,-0.9778,427,2022-04-14 00:00:00
1019579,They put out this terrible piece of garbage and had to know it did not work at all.,6,456166,-0.9998,427,2022-04-14 00:00:00
1019580,TWO WORDS: BETA TEST,7,456166,0.631,427,2022-04-14 00:00:00
1019581,completely horrible.,1,456167,-0.9984,427,2022-04-14 00:00:00
1019582,"if you have to fly internationally you have to check in both here and on the website because you can't do everything in any one place.",2,456167,0.6936,427,2022-04-14 00:00:00
1019583,"Whoever runs customer experience for United should be fired, then court martialed, then keelhauled, then shot.",3,456167,-0.9636,427,2022-04-14 00:00:00
1019584,User friendly and easy to usr,1,456168,0.992,427,2022-04-14 00:00:00
1019585,"Have not used the app long enough to formulate an opinion, only doong this to stop the maddness.",1,456169,-0.9613,427,2022-04-14 00:00:00
1019586,I will always tell people to do bookings through United Airlines.,1,456170,0.9297,427,2022-04-14 00:00:00
1019587,"I'm not happy that I had to store my credit card info to complete my check in.",1,456171,-0.9892,427,2022-04-14 00:00:00
1019588,After spending a couple of hours trying to scan my passport I finally figured it out.,1,456172,-0.9891,427,2022-04-14 00:00:00
1019589,When it brings up the screen to scan your passport you should only try to scan the page with your picture if you will notice there there are 2 sections to the scan area one is shaded in a slightly different color in the lower portion of the screen that lower portion that is in a different color is meant to capture only your passport number and the larger portion of the capture area is meant to capture the rest,2,456172,-0.9714,427,2022-04-14 00:00:00
1019590,horrible app booked wrong flight because of the faulty app,1,456173,-0.9977,427,2022-04-14 00:00:00
1019591,great check in process!,1,456174,0.9972,427,2022-04-14 00:00:00
1019592,Unbelievably horrible customer service.,1,456175,-0.999,427,2022-04-14 00:00:00
1019593,"Can't check baggage status.",1,456176,0.6047,427,2022-04-14 00:00:00
1019594,"Can't download passport info.",2,456176,-0.6405,427,2022-04-14 00:00:00
1019595,This app is horrible.,1,456177,-0.9998,427,2022-04-13 00:00:00
1019596,It keeps requesting the same passport details which are actually already saved.,2,456177,0.8514,427,2022-04-13 00:00:00
1019597,"It won't let me check in.",3,456177,-0.8687,427,2022-04-13 00:00:00
1019598,cant apply credit card.,1,456178,-0.9384,427,2022-04-13 00:00:00
1019599,had to re-enter again for bags,2,456178,-0.8604,427,2022-04-13 00:00:00
1019600,terrible.,1,456179,-0.9988,427,2022-04-13 00:00:00
1019601,the scan passport took me about 30 minutes.,2,456179,-0.941,427,2022-04-13 00:00:00
1019602,"it did not read my companions' one",3,456179,-0.9988,427,2022-04-13 00:00:00
1019603,App is very helpful.,1,456180,0.9784,427,2022-04-13 00:00:00
1019604,Easy to use.,2,456180,0.9934,427,2022-04-13 00:00:00
1019605,"Just don't understand why they keep changing our seats so many times.",3,456180,-0.7396,427,2022-04-13 00:00:00
